입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
24년 음식물쓰레기 위탁처리 용역,공군제19전투비행단,114508800,2024-01-17,111500000,97.308,2024-01-17,솔밭농장,이익수,이익수,충청북도 청주시 청원구 내수읍 은곡1길53
24-생활폐기물 위탁처리 용역,제20전투비행단,113235294,2024-01-18,94997563,84.361,2024-01-18,미르종합환경주식회사,이민형,장지수,충청남도 서산시 팔봉면 팔봉2로194-94
미래로아파트 위탁관리 용역,종합보급창,235369420,2024-01-18,235201276,99.378,2024-01-18,공우이엔씨 주식회사,이한기,김두용,"서울특별시 영등포구 여의대방로43라길6-0 (신길동, 신길프라자3층)"
24-F-온나라체계 유지보수,국군재정관리단,112980000,2024-01-19,98757600,88.083,2024-01-19,주식회사 이상시스템,이인석,유애숙,"서울특별시 영등포구 의사당대로1길11, 1409호(여의도동)"
24-M-전세버스 수송용역,국군재정관리단,302260000,2024-01-19,262900000,87.561,2024-01-19,희성고속관광(주),송정애,주준돈,대구광역시 달서구 성당로199-1 (성당동)
24년 직할대 음식물쓰레기 처리용역,제1989부대,102450980,2024-01-19,88916385,85.563,2024-01-19,케이씨네트웍스주식회사,김원상,김원상,광주광역시 광산구 상무대로507-11 (우산동)
(24F001-A) 음식물쓰레기 수거 및 위탁처리 용역,국군재정관리단,292907060,2024-01-19,235285360,81.129,2024-01-22,두미르환경,김나경,김나경,강원도 춘천시 동면 소양강로398-0
공군 제00비행단 병사식당 민간위탁 운영,제3훈련비행단,0,2024-01-24,29688750000,100,2024-02-20,주식회사 풀무원푸드앤컬처,이동훈,감선재,서울특별시 송파구 송파대로34길29(송파동)
24-공-0비 음식물쓰레기 처리용역,공군 제8전투비행단,187647058,2024-01-25,157700000,84.412,2024-01-29,(주)푸른농장,이관영,이소형,강원특별자치도 춘천시 동면 소양강로304-12
2024년 00병원 구충구서 방제 용역,국군수도병원,17529220,2024-01-25,15400548,87.964,2024-01-25,주식회사 케어원,김호영,용찬휘,"서울특별시 강남구 역삼로148, 3층 (역삼동, 굿잡빌딩)"
(23F297-B) 육군 근조화환 지원 용역,국군재정관리단,240000000,2024-01-26,237000000,98.609,2024-01-26,(주)삼신상사,전상학,전대훈,경기도 화성시 정남면 만년로98번길47
24년~'26년 육로여객 수송 용역,공군군수사령부,121923333,2024-01-26,107372300,88.227,2024-01-26,(주)대진고속관광,전대진,전대진,대구광역시 북구 칠곡중앙대로 620(읍내동)
24-용-1 생활폐기물 처리용역,공군제1전투비행단,97166666,2024-01-26,81865010,84.278,2024-01-26,(주)조선우드,선연담,이경숙,광주광역시 광산구 하남산단5번로99-11 (장덕동)
24-용-2 음식물폐기물 처리용역,공군제1전투비행단,116470588,2024-01-26,104823000,89.64,2024-01-26,다복농장,곽선우,곽선우,전라남도 무안군 현경면 성자동길79-36
24년 오폐수처리시설 관리용역,공군제18전투비행단,166178000,2024-01-26,146917900,88.901,2024-01-26,(주)녹색,이주철,김순자,강원특별자치도 원주시 반곡길168-2 (반곡동) (2층)
[육성지원금-24-1]버스 배차예약 앱 개발 용역,수도방위사령부,35170000,2024-01-26,30949600,88.372,2024-01-29,주식회사 이오앱스,안태용,안태용,인천광역시 연수구 송도과학로32-0 (송도동) 송도테크노파크IT센터 S동1501호
24년 레이더경보수신기(RWR) SW 지원셋 외주정비 용역,육군제8971부대,20359803,2024-01-26,18000000,88.072,2024-01-26,한양무선통신,최영복,최영복,경상남도 창원시 의창구 팔용로 399()
24년 이동식 항공기상관측장비(TACMET) 외주정비 용역,육군제8971부대,30833333,2024-01-26,27184520,88.432,2024-01-26,주식회사 진성이엔지,위재복,김성준,"경기도 성남시 중원구 사기막골로99, B동 1102호 , 1103호(상대원동, 센트럴비즈타워 2차)"
24년 통신 감시장비 외주정비 용역,육군제8971부대,109097058,2024-01-26,98170660,88.657,2024-01-26,신우정보통신 주식회사,심원용,심원용,"경기도 안산시 단원구 화정천동로102(고잔동, 2층)"
24년 항공기 유도장비(VOR) 외주정비 용역,육군제8971부대,35513725,2024-01-26,31087000,88.119,2024-01-26,한양무선통신,최영복,최영복,경상남도 창원시 의창구 팔용로 399()
재고번호미입력품목,제7067부대,195,2024-01-26,164,84.254,2024-01-26,태민환경,전혜경,전혜경,"경기도 가평군 가평읍 보납로22, 2층 나호"
24년 공사감독 차량 임대차 계약,제5378부대,55584000,2024-01-26,48981600,87.776,2024-01-26,주식회사 레드캡투어,인유성,김병직,"서울특별시 중구 을지로100, 비동 19층(을지로2가, 파인에비뉴)"
(육성) 예비군훈련 병력수송버스 임차 용역(1권역),육군 52보병사단,206400000,2024-01-26,202272000,96.755,2024-01-30,신동아고속관광(주),성흥수,권형준,서울특별시 강동구 아리수로93길33-9 (강일동) 402호
